identifier,title,keyword0,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,format,size,interactivityType,learningResourceType0,learningResourceType1,learningResourceType2,learningResourceType3,learningResourceType4,learningResourceType5,learningResourceType6,learningResourceType7,interactivityLevel,difficulty,typicalLearningTime
255,Noções de Sistema Operacional,sistema operacional,sistema operacionais,so,funções do sistema operacional,característica do so,definição,tipos de so,classificação,gerenciador,gerenciador de recursos,gerenciador de processos,gerenciador de memória,gerenciador de E/S,processo,memória,entrada e saída,sistema,monoprogramado,monotarefa,monousuário,multiprogramado,multiusuário,multitarefa,lote,bach,tempo compartilhado,tempo real,multiprocessado,embarcado,,,,,,,,,,,Format.APPLICATION_PDF,311666.0,InteractivityType.MIXED,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.TABLE,LearningResourceType.QUESTIONNAIRE,LearningResourceType.DIAGRAM,,,,,InteractivityLevel.VERY_LOW,Difficulty.VERY_EASY,00:15:17
269,O Sistema Operacional,sistema operacional,so,os,funções do so,funções,característica do so,definição,gerenciador,gerenciador de recursos,gerenciador de processos,gerenciador de memória,gerenciador de E/S,processo,memória,entrada e saída,sistema,,,,,,,,,,,,,,,,,,,,,,,,Format.IMAGE_PNG,395368.0,InteractivityType.EXPOSITIVE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.FIGURE,LearningResourceType.DIAGRAM,,,,,,InteractivityLevel.VERY_LOW,Difficulty.VERY_EASY,00:06:00
279,Componentes e Arquitetura,sistema operacional,so,os,memória,entrada e saída,sistema,hardware,cpu,processador,ula,uc,registradores,barramento,ram,,,,,,,,,,,,,,,,,,,,,,,,,,Format.APPLICATION_PDF,475168.0,InteractivityType.EXPOSITIVE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.FIGURE,LearningResourceType.DIAGRAM,LearningResourceType.TABLE,,,,,InteractivityLevel.VERY_LOW,Difficulty.VERY_EASY,00:19:06
262,Tipos de Sistemas operacionais,sistema operacional,so,os,tipos de so,classificação,monoprogramado,monotarefa,monousuário,multiprogramado,multiusuário,multitarefa,lote,bach,tempo compartilhado,tempo real,multiprocessado,hardware,cpu,processador,sistema,gerenciador,gerenciador de recursos,gerenciador de processo,gerenciador de memória,gerenciador de entrada e saída,entrada e saída,processo,,,,,,,,,,,,,Format.VIDEO_MP4,1077844414.0,InteractivityType.EXPOSITIVE,LearningResourceType.SLIDE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.FIGURE,LearningResourceType.DIAGRAM,,,,,InteractivityLevel.VERY_LOW,Difficulty.MEDIUM,00:44:17
278,Partes que compõem o computador,sistema operacional,so,os,memória,entrada e saída,sistema,hardware,cpu,processador,ula,uc,registradores,barramento,ram,,,,,,,,,,,,,,,,,,,,,,,,,,Format.APPLICATION_PDF,2449303.0,InteractivityType.EXPOSITIVE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.FIGURE,LearningResourceType.DIAGRAM,LearningResourceType.TABLE,,,,,InteractivityLevel.VERY_LOW,Difficulty.MEDIUM,00:17:48
271,Classificação de SO,sistema operacional,so,os,tipos de so,classificação,monoprogramado,monotarefa,monousuário,multiprogramado,multiusuário,multitarefa,lote,bach,tempo compartilhado,tempo real,multiprocessado,hardware,cpu,processador,sistema,,,,,,,,,,,,,,,,,,,,Format.VIDEO_MP4,21360641.0,InteractivityType.EXPOSITIVE,LearningResourceType.SLIDE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.DIAGRAM,LearningResourceType.FIGURE,,,,,InteractivityLevel.VERY_LOW,Difficulty.MEDIUM,00:08:26
280,Organização do computador,sistema operacional,so,os,memória,entrada e saída,sistema,hardware,cpu,processador,ula,uc,registradores,barramento,ram,,,,,,,,,,,,,,,,,,,,,,,,,,Format.VIDEO_MP4,293997942.0,InteractivityType.MIXED,LearningResourceType.SLIDE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.DIAGRAM,LearningResourceType.FIGURE,LearningResourceType.SIMULATION,,,,InteractivityLevel.VERY_LOW,Difficulty.MEDIUM,00:21:34
265,Noções de SO,sistema operacional,so,os,funções do so,funções,característica do so,definição,gerenciador,gerenciador de recursos,gerenciador de processos,gerenciador de memória,gerenciador de E/S,processo,memória,entrada e saída,sistema,,,,,,,,,,,,,,,,,,,,,,,,Format.APPLICATION_PDF,267117.0,InteractivityType.EXPOSITIVE,LearningResourceType.NARRATIVE_TEXT,,,,,,,,InteractivityLevel.VERY_LOW,Difficulty.MEDIUM,00:18:02
264,Funções do SO e Gerência de Recursos,sistema operacional,so,os,funções do so,funções,característica do so,definição,gerenciador,gerenciador de recursos,gerenciador de processos,gerenciador de memória,gerenciador de E/S,processo,memória,entrada e saída,sistema,escalonamento,estado do processo,threads,deadlock,overlay,memória virtual,paginação,swapping,fragmentação,,,,,,,,,,,,,,,Format.APPLICATION_PDF,3008725.0,InteractivityType.EXPOSITIVE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.DIAGRAM,LearningResourceType.FIGURE,LearningResourceType.TABLE,,,,,InteractivityLevel.VERY_LOW,Difficulty.VERY_DIFFICULT,02:57:17
268,Conceitos de SO,sistema operacional,so,os,funções do so,funções,característica do so,definição,gerenciador,gerenciador de recursos,gerenciador de processos,gerenciador de memória,gerenciador de E/S,processo,memória,entrada e saída,sistema,,,,,,,,,,,,,,,,,,,,,,,,Format.VIDEO_MP4,144238491.0,InteractivityType.EXPOSITIVE,LearningResourceType.SLIDE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.FIGURE,LearningResourceType.SIMULATION,,,,,InteractivityLevel.VERY_LOW,Difficulty.VERY_EASY,00:13:06
